Feature,Importância,Percentual
mm,0.1692574464724562,16.93
mtbc,0.14336137415815353,14.34
prop_menores_5,0.11872210425229472,11.87
mv,0.11864498919044925,11.86
prop_maiores_60,0.11365350620152599,11.37
mb,0.1107248392075235,11.07
mh,0.09345701521351858,9.35
periodo_pandemia,0.049698398793169556,4.97
prop_masculino,0.04394110391936043,4.39
mp,0.038539222591548246,3.85
