Feature,Importancia,Percentual
mm,0.22545609451054346,22.55
mv,0.21731320792677022,21.73
mb,0.20576102141219926,20.58
prop_menores_5,0.1596600114555798,15.97
mp,0.10042992612951869,10.04
prop_masculino,0.09137973856538856,9.14
